filename,class,fill
00262.jpg,glass;glass;glass,30;30;30
00263.jpg,cup;cup;plate;cup,30;30;0;30
00264.jpg,glass;glass;glass,30;30;30
00265.jpg,glass,30
00266.jpg,glass;glass;glass,30;30;30
00267.jpg,glass;glass;glass,30;30;30
00268.jpg,glass;glass;glass,30;30;30
00269.jpg,glass;glass;glass,30;30;30
00270.jpg,glass;glass;glass,30;30;30
00271.jpg,glass;glass;glass,30;30;30
00272.jpg,glass;glass;glass,30;30;30
00273.jpg,glass;glass;glass,30;30;30
00274.jpg,cup;cup;plate;cup,30;30;0;30
00275.jpg,glass;glass;glass,30;30;30
00276.jpg,glass;glass;glass,30;30;30
00277.jpg,glass,30
00278.jpg,glass;glass;glass,30;30;30
00279.jpg,glass;glass;glass,30;30;30
00280.jpg,glass;glass;glass,30;30;30
00281.jpg,glass;glass;glass,30;30;30
00282.jpg,glass;glass;glass,30;30;30
00283.jpg,glass;glass;glass,30;30;30
00284.jpg,glass;glass;glass,30;30;30
00285.jpg,glass;glass;glass,30;30;30
00286.jpg,glass;glass;glass,30;30;30
00287.jpg,cup;cup,30;30
00288.jpg,glass,30
00289.jpg,glass;glass;glass,30;30;30
00290.jpg,glass;glass;glass,30;30;30
00291.jpg,glass,30
00292.jpg,glass,30
00293.jpg,glass;glass,30;30
00294.jpg,glass;glass,30;30
00295.jpg,glass;glass,30;30
00296.jpg,glass;glass,30;30
00297.jpg,glass;glass,30;30
00298.jpg,cup;cup;glass;cup,30;30;30;30
00299.jpg,glass;glass;glass,30;30;30
00300.jpg,glass;glass;glass,30;30;30
00301.jpg,glass,30
00302.jpg,glass;glass;glass,30;30;30
00303.jpg,glass;glass;glass,30;30;30
00304.jpg,cup;cup;glass;cup,30;30;30;30
00305.jpg,cup;cup;glass,30;30;30
00306.jpg,plate;cup;cup,0;0;0
00307.jpg,plate;cup;cup,0;0;0
00308.jpg,glass;plate,0;0
00309.jpg,plate;plate;glass,0;0;0
00310.jpg,plate;plate;plate;glass,0;0;0;0
00311.jpg,cup;glass;cup;cup,0;0;30;0
00312.jpg,glass;glass;cup;glass;cup,0;0;0;0;0
00313.jpg,cup;cup;cup,30;30;30
00314.jpg,glass;plate;glass;cup,0;0;0;0
00315.jpg,cup;cup;cup,30;30;30
00316.jpg,glass;plate;glass,0;0;0
00317.jpg,cup;cup;cup,30;30;39
00318.jpg,glass;glass;plate;cup;cup;glass,0;0;0;0;0;0
00319.jpg,cup;cup;cup,30;30;30
00320.jpg,glass;glass;plate;cup;glass;cup,0;0;0;0;0;0
00321.jpg,cup;cup;cup,30;30;30
00322.jpg,glass;plate;cup;cup;glass,0;0;0;0;0
00323.jpg,plate;cup;glass,0;0;0
00324.jpg,glass;plate;cup;cup;glass,0;0;0;0;0
00325.jpg,plate;cup;glass,0;0;0
00326.jpg,glass;plate;glass;cup;cup,0;0;0;0;0
00327.jpg,glass;glass,0;0
00328.jpg,plate;glass,0;0
00329.jpg,plate;glass,0;0
00330.jpg,glass;glass;plate;cup;glass,0;0;0;0;0
00331.jpg,cup;plate;glass,0;0;0
00332.jpg,cup;cup;cup,0;30;0
00333.jpg,plate;cup;cup,0;0;0
00334.jpg,cup;cup;cup,30;30;30
00335.jpg,glass;plate,0;0
00336.jpg,cup;cup;cup,0;30;0
00337.jpg,cup;cup,30;0
00338.jpg,cup;cup;cup,30;0;0
00339.jpg,cup;cup;cup,30;30;30
00340.jpg,cup;cup;cup,30;0;0
00341.jpg,cup;cup;cup,30;0;0
00342.jpg,cup;cup;cup,0;30;0
00343.jpg,plate;glass,0;0
00344.jpg,glass;plate,0;0
00345.jpg,cup;cup;cup,30;0;0
00346.jpg,cup;cup;cup,30;0;0
00347.jpg,cup;cup,30;30
00348.jpg,cup;glass;cup;cup,0;0;30;0
00349.jpg,cup;cup;cup,30;30;30
00350.jpg,cup;cup,30;30
00351.jpg,cup;cup,30;30
00352.jpg,cup;cup;cup,30;30;30
00353.jpg,cup;cup;cup,30;30;30
00354.jpg,cup,30
00355.jpg,plate;glass,0;0
00356.jpg,plate;glass,0;0
00357.jpg,cup;cup;cup,30;30;30
00358.jpg,cup;cup;cup,30;30;30
00359.jpg,cup;cup;cup,30;30;30
00360.jpg,cup;cup;cup,30;30;30
00361.jpg,cup;cup;cup,30;30;30
00362.jpg,cup;cup;cup,30;30;30
00363.jpg,cup;cup,30;30
00364.jpg,cup;cup;cup,30;30;30
00365.jpg,cup;cup;cup,30;30;30
00366.jpg,cup;cup;cup,30;30;30
00367.jpg,glass;plate,0;0
00368.jpg,glass;plate,0;0
00369.jpg,cup;cup,30;30
00370.jpg,cup;cup;cup,30;30;30
00371.jpg,cup,30
00372.jpg,cup;cup;cup,30;30;30
00373.jpg,cup;plate;cup,0;0;0
00374.jpg,cup;plate;cup,0;0;0
00375.jpg,plate;cup;cup,0;0;0
00376.jpg,glass;plate;cup,0;0;0
00377.jpg,glass;cup,0;0
00378.jpg,plate;plate;glass,0;0;0
00379.jpg,glass;cup;plate,0;0;0
00380.jpg,glass;plate,0;0
00381.jpg,plate;plate;glass,0;0;0
00382.jpg,plate;cup;glass,0;0;0
00383.jpg,glass;glass;glass,0;0;0
00384.jpg,glass;glass;glass,0;0;0
00385.jpg,glass;glass;glass,0;0;0
00386.jpg,glass;glass;glass,0;0;0
00387.jpg,cup;plate;cup,0;0;0
00388.jpg,glass;glass,0;0
00389.jpg,glass;glass;glass,0;0;0
00390.jpg,glass,0
00391.jpg,glass;plate,0;0
00392.jpg,cup;cup;cup,0;30;0
00393.jpg,glass;glass;glass,0;0;0
00394.jpg,cup;plate;cup,0;0;0
00395.jpg,glass;plate;glass;cup,0;0;0;0
00396.jpg,glass;plate;glass;cup,0;0;0;0
00397.jpg,cup;cup,30;30
00398.jpg,cup;cup,30;30
00399.jpg,cup;cup,0;0
00400.jpg,plate;plate;plate,0;0;0
00401.jpg,plate;plate;plate,0;0;0
00402.jpg,glass;plate,0;0
00403.jpg,plate;glass;cup,0;0;0
00404.jpg,cup;cup;cup,30;0;0
00405.jpg,cup;glass;plate,0;0;0
00406.jpg,glass;plate;cup,0;0;0
00407.jpg,glass;plate,0;0
00408.jpg,cup;cup;cup,0;30;0
00409.jpg,cup;cup;cup,30;30;30
00410.jpg,plate,0
00411.jpg,glass;cup;glass;plate,0;0;0;0
00412.jpg,cup;cup;cup,0;0;0
00413.jpg,cup;cup;cup;cup,0;0;0;0
00414.jpg,cup;cup;cup,0;0;0
00415.jpg,cup;cup;cup;cup,0;0;0;0
00416.jpg,cup;cup;cup;cup,0;30;100;0
00417.jpg,cup;cup,0;0
00418.jpg,cup;cup;cup;cup,0;30;100;0
00419.jpg,cup;cup;cup;cup,0;0;0;0
00420.jpg,cup;cup;cup;cup,0;0;0;0
00421.jpg,cup;cup;cup;cup,0;0;0;0
00422.jpg,cup;cup;cup;cup,0;30;100;0
00423.jpg,cup;cup;cup;cup,0;0;0;0
00424.jpg,cup;cup;cup;cup,0;0;0;0
00425.jpg,cup;cup;cup;cup,0;0;0;0
00426.jpg,cup;cup;cup;cup,0;0;0;0
00427.jpg,cup;cup;cup,0;0;0
00428.jpg,cup;cup,0;0
00429.jpg,glass;cup;plate;glass,0;0;0;0
00430.jpg,cup;cup;cup;glass,30;30;30;30
00431.jpg,cup;cup;cup,0;0;0
00432.jpg,cup;cup;cup,0;0;0
00433.jpg,cup;cup;cup,0;0;0
00434.jpg,cup;cup;cup;cup,0;0;0;0
00435.jpg,cup;cup,30;30
00436.jpg,glass;cup;cup,30;30;30
00437.jpg,glass;cup;cup;cup,30;30;30;30
00438.jpg,cup;cup;cup;glass,30;30;30;30
00439.jpg,glass;cup;cup;cup,30;30;30;39
00440.jpg,cup;cup;cup;glass,30;30;30;30
00441.jpg,glass;cup;cup;cup;cup,30;30;30;30;30
00442.jpg,glass;cup,30;30
00443.jpg,cup;cup;cup;glass,30;30;30;30
00444.jpg,glass;cup;glass;plate,0;0;0;0
00445.jpg,cup;glass;cup;cup,30;30;30;30
00446.jpg,cup;cup;cup;glass,30;30;30;30
00447.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00448.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00449.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00450.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00451.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00452.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00453.jpg,cup;cup;glass;cup,30;30;30;30
00454.jpg,cup;cup;glass;cup,30;30;30;30
00455.jpg,cup;cup;glass;cup;cup,0;100;0;100;0
00456.jpg,cup;cup;glass;cup,0;100;0;100
00457.jpg,cup;cup;cup;glass,0;0;100;0
00458.jpg,glass;plate;cup,0;0;0
00459.jpg,cup;cup;glass;cup;cup,30;30;30;30;30
00460.jpg,glass,0
00461.jpg,cup;cup;cup;glass;cup,0;0;100;0;100
00462.jpg,cup;cup;cup;cup,0;50;0;100
00463.jpg,cup;cup;cup;glass;cup,0;0;100;0;100
00464.jpg,cup;cup;cup;cup;glass,100;0;0;100;0
00465.jpg,cup;cup;cup;cup,0;100;0;100
00466.jpg,cup;cup;cup;cup,0;100;0;100
00467.jpg,cup;cup;cup,0;100;0
00468.jpg,cup;cup;cup,o;100;100
00469.jpg,cup;cup;cup;cup,0;100;100;100
00470.jpg,cup;cup;cup,0;30;100
00471.jpg,cup;cup;cup;cup,0;30;100;0
00472.jpg,cup;cup;cup;cup,0;30;0;100
00473.jpg,glass;cup;cup;plate,0;0;0;0
00474.jpg,cup;glass;cup;cup,0;0;100;0
00475.jpg,cup;cup;cup;cup,0;0;100;100
00476.jpg,cup;cup;cup;cup;glass,0;0;100;100;0
00477.jpg,glass;cup;cup;cup;cup,0;0;0;100;100
00478.jpg,glass;cup;cup;cup;cup,0;0;100;100;0
00479.jpg,glass;cup;cup;cup;cup,0;0;0;100;100
00480.jpg,glass;cup;cup;cup;cup,0;0;100;100;0
00481.jpg,glass;cup;cup;cup;cup,0;0;0;100;100
00482.jpg,glass;cup;cup;cup;cup,0;0;0;100;100
00483.jpg,glass;cup;cup;cup;cup,0;0;0;100;100
00484.jpg,glass;cup;cup;cup;cup,0;0;50;50;0
00485.jpg,glass;cup;cup;cup;cup,0;30;30;0;0
00486.jpg,glass;cup;cup;cup;cup,0;50;50;0;0
00487.jpg,glass;cup;cup;cup;cup,0;0;0;0;0
00488.jpg,cup;cup;cup;cup,0;50;0;100
00489.jpg,glass,0
00490.jpg,glass;cup;cup;cup;cup,0;100;50;0;0
00491.jpg,glass;cup;cup;cup;cup,0;0;50;0;100
00492.jpg,glass;cup;cup;cup;cup,0;100;50;0;0
00493.jpg,glass;cup;cup;cup;cup,0;0;50;0;100
00494.jpg,glass;cup;cup;cup;cup,0;0;50;0;100
00495.jpg,cup;cup;cup;glass;cup,0;30;100;0;0
00496.jpg,glass;cup;cup;cup;cup,0;0;30;0;100
00497.jpg,glass;cup;cup;cup;cup,0;0;30;0;100
00498.jpg,glass;cup;cup;cup;cup,0;0;30;100;0
00499.jpg,glass;cup;cup;cup;cup,0;0;30;100;0
00500.jpg,glass;cup;cup;cup,0;100;0;0
00501.jpg,glass;cup;cup;cup;cup,0;0;30;100;0
00502.jpg,glass;cup;cup;cup;cup,0;30;100;0;0
00503.jpg,glass;cup;cup;cup;cup,0;0;30;100;0
00504.jpg,glass;cup;cup;cup;cup,0;0;0;0;0
00505.jpg,glass;cup;cup;cup;cup,0;0;30;100;0
00506.jpg,glass,0
00507.jpg,glass;cup;cup;cup;cup,0;30;100;0;0
00508.jpg,glass;cup;cup;cup;cup,0;30;100;0;0
00509.jpg,cup;glass;cup;cup;cup,100;0;0;0;30
00510.jpg,glass;cup;cup;cup;cup,0;100;0;0;30
00511.jpg,glass;cup;cup;cup,0;0;30;100
00512.jpg,glass;cup;cup;cup;cup,0;100;0;0;30
00513.jpg,glass;cup;cup;cup,0;0;30;100
00514.jpg,glass;cup;cup,0;0;0
00515.jpg,cup;cup;cup;glass;cup,30;0;100;0;0
00516.jpg,cup;cup;cup;cup;glass,0;0;30;100;0
00517.jpg,glass;cup;cup,0;0;0
00518.jpg,glass;cup;cup;cup;cup,0;0;30;100;0
00519.jpg,cup;cup;cup;cup,0;0;0;0
00520.jpg,glass;cup;cup;cup,0;0;0;0
00521.jpg,glass;cup;cup;cup;cup,0;0;0;0;0
00522.jpg,cup;cup;cup,30;30;30
00523.jpg,cup;glass;glass;glass;cup;cup,0;30;100;100;0;0
00524.jpg,cup;cup;cup,30;30;30
00525.jpg,glass;cup;cup;cup,0;30;30;100
00526.jpg,cup;cup;cup;cup,100;30;100;30
00527.jpg,glass;cup;cup;cup,0;30;100;30
00528.jpg,glass;cup;cup;cup,0;30;30;100
00529.jpg,glass;cup;cup;cup,0;30;30;100
00530.jpg,cup;cup;cup;glass,30;30;30;0
00531.jpg,cup;cup;cup;glass,30;100;30;0
00532.jpg,glass;cup;cup;cup,0;30;100;30
00533.jpg,cup;cup;cup,30;100;30
00534.jpg,glass;cup;cup;cup,0;30;100;30
00535.jpg,glass;cup;cup;cup,0;30;100;30
00536.jpg,glass;cup;cup;cup;cup,0;30;100;30;30
00537.jpg,glass;cup;cup;cup,0;30;30;30
00538.jpg,glass;cup;cup;cup,0;30;100;30
00539.jpg,glass;cup;cup;cup,0;100;100;30
00540.jpg,glass;cup;cup;cup;cup,0;30;100;30;30
00541.jpg,glass;cup;cup;cup,0;30;100;30
00542.jpg,glass;cup;cup;cup;cup,0;30;100;30;30
00543.jpg,glass;cup;cup;cup;cup,0;30;100;30;30
00544.jpg,glass;cup;cup;cup;cup,0;30;100;30;30
00545.jpg,glass;cup;cup;cup,0;30;100;30
00546.jpg,glass;cup;cup;cup;cup,0;30;100;30;30
00547.jpg,cup;cup;cup,100;30;300
00548.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00549.jpg,glass;cup;cup;cup;cup,0;30;30;30;30
00550.jpg,glass;cup;cup;cup,0;30;30;30
00551.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00552.jpg,cup;cup;cup;cup;cup,100;100;100;100;100
00553.jpg,glass;cup;cup,0;30;30
00554.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00555.jpg,glass;cup,0;30
00556.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00557.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00558.jpg,glass;cup;cup;cup,0;30;100;30
00559.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00560.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00561.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00562.jpg,glass;cup;cup;cup,0;30;30;30
00563.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00564.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00565.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00566.jpg,glass;cup;cup;cup,0;30;30;30
00567.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00568.jpg,glass;cup;cup;cup;cup,0;30;30;100;30
00569.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00570.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00571.jpg,glass;cup;cup;cup,0;30;30;100
00572.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00573.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00574.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00575.jpg,glass;cup;cup;cup,0;30;30;30
00576.jpg,glass;cup;cup;cup;cup,0;30;30;30;100
00577.jpg,cup;cup;cup;cup,30;30;30;100
00578.jpg,glass;cup;cup,0;30;30
00579.jpg,glass;cup;cup;cup,0;30;30;30
00580.jpg,cup;cup;cup;cup,30;30;30;100
00581.jpg,cup;cup;glass;cup,30;30;0;30
00582.jpg,cup;cup;glass;cup,30;30;0;30
00583.jpg,cup;cup;cup;cup,30;30;30;100
00584.jpg,cup;cup;cup;cup,30;30;30;100
00585.jpg,cup;cup;cup;cup,30;30;30;100
00586.jpg,cup;cup;cup;cup,30;30;30;100
00587.jpg,cup;cup;cup;cup,30;30;100;30
00588.jpg,glass;cup;cup;cup,0;30;30;30
00589.jpg,cup;cup;cup,100;30;30
00590.jpg,cup;cup;cup,100;30;30
00591.jpg,cup;cup;cup,100;30;30
00592.jpg,cup;cup;cup,100;30;30
00593.jpg,cup;cup;cup,100;30;30
00594.jpg,cup;cup,30;30
00595.jpg,cup;cup;cup,100;30;30
00596.jpg,cup;cup;cup;cup,100;30;30;30
00597.jpg,cup;cup;cup,30;30;100
00598.jpg,cup;cup;cup,30;30;100
00599.jpg,cup;cup;cup;cup,30;30;100;30
00600.jpg,cup;cup;cup;cup,30;30;100;30
00601.jpg,glass;cup;cup;cup;cup,30;30;30;30;30
00602.jpg,cup;cup,30;30
00603.jpg,cup;cup;cup;cup,30;30;30;30
00604.jpg,cup;cup;cup,30;30;30
00605.jpg,cup;cup,30;30
00606.jpg,cup;cup;cup;cup,30;30;30;30
00607.jpg,cup;cup;cup,30;30;30
00608.jpg,cup;cup;cup;cup,30;30;30;30
00609.jpg,cup;cup,30;30
00610.jpg,cup;cup;cup;cup,30;30;30;30
00611.jpg,cup;cup;cup;cup,30;30;30;30
00612.jpg,glass;cup;cup;cup;cup,30;30;30;30;30
00613.jpg,cup;cup;cup;cup,30;30;30;30
00614.jpg,cup;cup;cup;cup,30;30;30;30
00615.jpg,cup;cup;cup;cup,30;30;30;30
00616.jpg,cup;cup;cup;cup,30;30;30;30
00617.jpg,cup;cup;cup;cup,30;30;30;30
00618.jpg,cup;cup;cup,30;30;30
00619.jpg,cup;cup;cup,30;30;30
00620.jpg,cup;cup;cup;cup,30;30;30;30
00621.jpg,cup;cup;cup,30;30;30
00622.jpg,cup;cup;cup;cup,30;30;30;30
00623.jpg,cup;cup,30;30
00624.jpg,cup;cup;cup;cup,30;30;30;30
00625.jpg,glass;cup;cup;cup;cup,30;30;30;30;30
00626.jpg,cup;cup;cup,30;30;30
00627.jpg,cup;cup;cup,30;30;30
00628.jpg,cup;cup;cup,30;30;30
